original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Solanum iopetalum,2932446,,Solanum iopetalum (Bitter) Hawkes,Plantae,Solanum,Solanum iopetalum,2932446,Solanaceae
Solanum juzepczukii,6402139,,Solanum × juzepczukii Bukasov,Plantae,Solanum,Solanum juzepczukii,6402139,Solanaceae
Solanum kurtzianum,2931296,,Solanum kurtzianum Bitter & Wittm.,Plantae,Solanum,Solanum kurtzianum,2931296,Solanaceae
Solanum laxissimum,2931803,,Solanum laxissimum Bitter,Plantae,Solanum,Solanum laxissimum,2931803,Solanaceae
Solanum medians,2932228,,Solanum medians Bitter,Plantae,Solanum,Solanum medians,2932228,Solanaceae
Solanum multiinterruptum,6402667,,Solanum multiinterruptum Bitter,Plantae,Solanum,Solanum multiinterruptum,6402667,Solanaceae
Solanum oxycarpum,2930459,,Solanum oxycarpum Schiede,Plantae,Solanum,Solanum oxycarpum,2930459,Solanaceae
Solanum pinnatisectum,2931452,,Solanum pinnatisectum Dunal,Plantae,Solanum,Solanum pinnatisectum,2931452,Solanaceae
Solanum polyadenium,2929284,,Solanum polyadenium Greenm.,Plantae,Solanum,Solanum polyadenium,2929284,Solanaceae
Solanum stoloniferum,2930498,,Solanum stoloniferum Schltdl. & C.D.Bouché,Plantae,Solanum,Solanum stoloniferum,2930498,Solanaceae
Solanum vernei,2932633,,Solanum vernei Bitter & Wittm.,Plantae,Solanum,Solanum vernei,2932633,Solanaceae
Solanum verrucosum,2932434,,Solanum verrucosum Schltdl.,Plantae,Solanum,Solanum verrucosum,2932434,Solanaceae
Cyathea kalbreyeri,3598634,,Cyathea kalbreyeri (Baker) Domin,Plantae,Cyathea,Cyathea kalbreyeri,3598634,Cyatheaceae
Eriostemon obovalis,5593525,3838209,Eriostemon obovalis A.Cunn.,Plantae,Philotheca,Philotheca obovalis,3838209,Rutaceae
Fontinalis squamosa,2678774,,Fontinalis squamosa Hedw.,Plantae,Fontinalis,Fontinalis squamosa,2678774,Fontinalaceae
Garcinia terpnophylla,3712530,,Garcinia terpnophylla Thwaites,Plantae,Garcinia,Garcinia terpnophylla,3712530,Clusiaceae
Papilionanthe teres,2833897,,Papilionanthe teres (Roxb.) Schltr.,Plantae,Papilionanthe,Papilionanthe teres,2833897,Orchidaceae
Parodia scopa,7281140,,Parodia scopa (Spreng.) N.P.Taylor,Plantae,Parodia,Parodia scopa,7281140,Cactaceae
Polycarpaea corymbosa,3085781,,Polycarpaea corymbosa (L.) Lam.,Plantae,Polycarpaea,Polycarpaea corymbosa,3085781,Caryophyllaceae
Sesbania speciosa,7632881,,Sesbania speciosa Taub. ex Engl.,Plantae,Sesbania,Sesbania speciosa,7632881,Fabaceae
Syzygium siamense,3182011,,Syzygium siamense (Craib) Chantar. & J.Parn.,Plantae,Syzygium,Syzygium siamense,3182011,Myrtaceae
Andira sp.,7858091,,Andira Lam.,Plantae,Andira,spp.,7858091,Fabaceae
Bolusanthus sp.,2952354,,Bolusanthus Harms,Plantae,Bolusanthus,spp.,2952354,Fabaceae
Cadia spp,2968347,,Cadia Forssk.,Plantae,Cadia,spp.,2968347,Fabaceae
Centrolobium paraense,2945579,,Centrolobium paraense Tul.,Plantae,Centrolobium,Centrolobium paraense,2945579,Fabaceae
Cladrastis spp,2945508,,Cladrastis Raf.,Plantae,Cladrastis,spp.,2945508,Fabaceae
Erycibe sp.,7324206,,Erycibe Roxb.,Plantae,Erycibe,spp.,7324206,Convolvulaceae
Psorothamnus arborescens var. minutifolius,2940481,,Psorothamnus arborescens var. minutifolius (Parish) Barneby,Plantae,Psorothamnus,Psorothamnus arborescens,2940481,Fabaceae
Aneura pinguis,5286381,,Aneura pinguis (L.) Dumort.,Plantae,Aneura,Aneura pinguis,5286381,Aneuraceae
Croton chilensis,3059289,,Croton chilensis Müll.Arg.,Plantae,Croton,Croton chilensis,3059289,Euphorbiaceae
Epimedium diphyllum,8334678,,Epimedium diphyllum Lodd. ex Graham,Plantae,Epimedium,Epimedium diphyllum,8334678,Berberidaceae
Jamesonia flexuosa,8056064,,Jamesonia flexuosa (Kunth) Christenh.,Plantae,Jamesonia,Jamesonia flexuosa,8056064,Pteridaceae
Lamium galeobdolon,2927324,,Lamium galeobdolon (L.) L.,Plantae,Lamium,Lamium galeobdolon,2927324,Lamiaceae
Perovskia scrophularifolia,3889009,11054827,Perovskia scrophulariifolia Bunge,Plantae,Salvia,Salvia scrophulariifolia,11054827,Lamiaceae
Polypremum procumbens,5415472,,Polypremum procumbens L.,Plantae,Polypremum,Polypremum procumbens,5415472,Tetrachondraceae
Salix arctica,5372665,,Salix arctica Pall.,Plantae,Salix,Salix arctica,5372665,Salicaceae
Salix candida,5372888,,Salix candida Flüggé ex Willd.,Plantae,Salix,Salix candida,5372888,Salicaceae
Salix cinerea,5372605,,Salix cinerea L.,Plantae,Salix,Salix cinerea,5372605,Salicaceae
Salix eleagnos,5372655,,Salix eleagnos Scop.,Plantae,Salix,Salix eleagnos,5372655,Salicaceae
Salix lapponum,7104074,,Salix lapponum L.,Plantae,Salix,Salix lapponum,7104074,Salicaceae
Salix pentandra,5372647,,Salix pentandra L.,Plantae,Salix,Salix pentandra,5372647,Salicaceae
Salix phylicifolia,7918641,,Salix phylicifolia L.,Plantae,Salix,Salix phylicifolia,7918641,Salicaceae
Salix triandra,7103891,,Salix triandra L.,Plantae,Salix,Salix triandra,7103891,Salicaceae
Vittadinia cuneata,3138897,,Vittadinia cuneata DC.,Plantae,Vittadinia,Vittadinia cuneata,3138897,Asteraceae
Agave lecheguilla,3723563,,Agave lecheguilla Torr.,Plantae,Agave,Agave lecheguilla,3723563,Asparagaceae
Cabralea eichleriana,7271496,7271503,Cabralea eichleriana C.DC.,Plantae,Cabralea,Cabralea canjerana,7271503,Meliaceae
Dysoxylum cauliflorum,7271313,,Epicharis Blume,Plantae,Epicharis,spp.,7271313,Meliaceae
Dysoxylum gotadhora,3850114,,Dysoxylum gotadhora (Buch.-Ham.) Mabb.,Plantae,Dysoxylum,Dysoxylum gotadhora,3850114,Meliaceae
Tylophora crebriflora,7587396,5525425,Tylophora crebriflora S.T.Blake,Plantae,Vincetoxicum,Vincetoxicum polyanthum,5525425,Apocynaceae
Alnus subcordata,2876563,,Alnus subcordata C.A.Mey.,Plantae,Alnus,Alnus subcordata,2876563,Betulaceae
Ardisia quinquegona,7331031,,Ardisia quinquegona Blume,Plantae,Ardisia,Ardisia quinquegona,7331031,Primulaceae
Artocarpus elasticus,7425575,,Artocarpus elasticus Reinw. ex Blume,Plantae,Artocarpus,Artocarpus elasticus,7425575,Moraceae
