original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Chamaecyparis pisifera,2683880,NA,Chamaecyparis pisifera (Siebold & Zucc.) Endl.,Plantae
Chamomilla recutita,5391086,8370958,Chamomilla recutita (L.) Rauschert,Plantae
Chenopodium ambrosioides,3064,NA,Amaranthaceae,Plantae
Chiliadenus lopadusanus,3089854,NA,Chiliadenus lopadusanus Brullo,Plantae
Chloranthus tianmushanensis,3750501,NA,Chloranthus tianmushanensis K.F.Wu,Plantae
Chresta sphaerocephala,3142080,NA,Chresta sphaerocephala DC.,Plantae
Chromolaena odorata,3087725,NA,Chromolaena odorata (L.) R.M.King & H.Rob.,Plantae
Chromolaena pulchella,3087897,NA,Chromolaena pulchella (Kunth) R.M.King & H.Rob.,Plantae
Chrysanthemum indicum,3150814,NA,Chrysanthemum indicum L.,Plantae
Chrysanthemum x morifolium,3150767,NA,Chrysanthemum × morifolium Ramat. ex Hemsl.,Plantae
Chrysanthemum zawadskii,3150753,10906157,"Chrysanthemum zawadskii Herbich, 1831",Plantae
Cinnamomum aromaticum,3033982,NA,Cinnamomum aromaticum Nees,Plantae
Cinnamomum camphora,3033991,NA,Cinnamomum camphora (L.) J.Presl,Plantae
Cinnamomum illicioides,4183219,NA,Cinnamomum illicioides A.Chev.,Plantae
Cinnamomum sieboldii,8286659,NA,Cinnamomum sieboldii Meisn.,Plantae
Cinnamomum tenuifolium,7304447,4176844,Cinnamomum tenuifolium (Makino) Sugim.,Plantae
Cinnamomum verum,3033987,NA,Cinnamomum verum J.Presl,Plantae
Cinnamomum zeylanicum,3033988,3033987,Cinnamomum zeylanicum Blume,Plantae
Cistus albidus,7331435,NA,Cistus albidus L.,Plantae
Cistus creticus,6438085,NA,Cistus creticus L.,Plantae
Cistus ladanifer,6437976,NA,Cistus ladanifer L.,Plantae
Cistus laurifolius,3596501,NA,Cistus laurifolius L.,Plantae
Cistus monspeliensis,2874030,NA,Cistus monspeliensis L.,Plantae
Citrus,3190155,NA,Citrus L.,Plantae
Citrus aurantifolia,3190164,NA,Citrus × aurantiifolia (Christm.) Swingle,Plantae
Citrus aurantiifolia,3190164,NA,Citrus × aurantiifolia (Christm.) Swingle,Plantae
Citrus aurantium,8077391,NA,Citrus × aurantium L.,Plantae
Citrus hystrix,6433679,NA,Citrus hystrix DC.,Plantae
Citrus japonica,3831801,NA,Citrus japonica Thunb.,Plantae
Citrus junos,3831766,NA,Citrus × junos Siebold ex Yu.Tanaka,Plantae
Citrus limon,7647136,NA,Citrus × limon (L.) Osbeck,Plantae
Citrus maxima,3190160,NA,Citrus maxima (Burm.) Merr.,Plantae
Citrus medica,3190157,NA,Citrus medica L.,Plantae
Citrus natsudaidai,3831169,8077391,Citrus × natsudaidai (Yu.Tanaka) Hayata,Plantae
Citrus reticulata,3190172,NA,Citrus reticulata Blanco,Plantae
Citrus sinensis,3190158,8077391,"Citrus sinensis (Mill.) Pers., 1806",Plantae
Citrus sinensis L.,3190155,NA,Citrus L.,Plantae
