inchi_key,cids
SPVJAJTZALQLQL-UHFFFAOYSA-N,162897380.0
NFFWQCKTNXPKGV-FAIXQHPJSA-N,70698082.0
ZZEDZBYOOXYHBR-HMZODOOTSA-N,162982978.0
SPLDDMANSFWHQU-BKXYZSJASA-N,
MLKBWFQLENQJAR-SDNWHVSQSA-N,9995653.0
BVHLNRAYBCPKOY-NRFANRHFSA-N,73204.0
ZBBONRPQJAKJAQ-UHFFFAOYSA-N,102188214.0
DCBAVUVLEYSTPU-LMDOITEXSA-N,15558363.0
MRMCTOUWTYMNOX-DETDWBCYSA-N,21607144.0
CKPWNMFJQJVNER-DVITTYBWSA-N,636584.0
LKYABSOYLMWGQR-VXDVIXJWSA-N,162898347.0
MMESXCQWMJEGBH-CUSZFKRNSA-N,
XDMYMALKBPGZDQ-PFHNRSINSA-N,162931422.0
QEFZHWXDJWRKGB-WFMSPIOQSA-N,162952346.0
FLRZSIWHIJTYQM-BEZVJNGGSA-N,
ZGKQIZRKXMUOBP-UHFFFAOYSA-N,162826830.0
IVTMALDHFAHOGL-ICNYXEQFSA-N,44259247.0
RNHYCUQLXZYRGU-WMCLMAMVSA-N,5319524.0
GTEJJXOFLPCZGJ-DOFPOEDPSA-N,11547355.0
WDKYDMULARNCIS-GQCTYLIASA-N,5317238.0
NIKHGUQULKYIGE-OTCXFQBHSA-N,73062.0
HFPZCAJZSCWRBC-UHFFFAOYSA-N,7463.0
JUQGWBAOQUBVFP-OPFPJEHXSA-N,6427091.0
ABXGGKZYHQHBHZ-RLSVAZDISA-N,162907809.0
UCZOPSUTRUWZNY-YRFYIIOPSA-N,6429062.0
JZEPGIHACXZLFL-NYKPPTNSSA-N,91750082.0
XLSLLCJGYAYACK-OZLCELMISA-N,
AYJCMTOVQWMEDB-WHVFMQMESA-N,12132772.0
OQEZZZJNCCREES-ZHUTXJJWSA-N,101945543.0
FBSKJMQYURKNSU-ZLSOWSIRSA-N,5281800.0
QPBXGHPGNJJSFO-GVEXGNBASA-N,10828229.0
FYGHSUNMUKGBRK-UHFFFAOYSA-N,10686.0
SUGIJIFASYORQN-UHFFFAOYSA-N,5319726.0
WLYCTTJGVRMXFW-UHFFFAOYSA-N,14376219.0
NFUDIHFRVVFXHZ-OLUDQAPWSA-N,162978448.0
IKNXPYDWPREFAY-FYDMFQIUSA-N,14021434.0
XOJVHLIYNSOZOO-XDVOEGGCSA-N,162879854.0
USDOQCCMRDNVAH-KKUMJFAQSA-N,10657.0
UBESEOZUVOCVTH-PCMHMZDMSA-N,163190557.0
HATSAIPBKRRCME-JCURWCKSSA-N,12302149.0
NEJKEXUJCSYMCC-NUBQEMHQSA-N,44259358.0
CMQUDKMXEKUQCJ-DDMURZALSA-N,
BQUVRDVKRPQXAJ-GZDTUDRRSA-N,100989600.0
ZZSQAEGEPHRPKG-FLZWTESGSA-N,162934369.0
OLBZWFNHLHRSFG-MINZABDGSA-N,163186883.0
FXFBVZOJVHCEDO-NSULPUJOSA-N,45109756.0
YXBSFFUFEBAOCR-GPHSRZSCSA-N,
HDEUZIUWTZMOPC-SKMMBWDPSA-N,
OVSQVDMCBVZWGM-QSOFNFLRSA-N,5280804.0
ZWQAETRZJQREBW-UHFFFAOYSA-N,
YNIPIBVFVRXGEW-CKQPZERJSA-N,162943259.0
BNMUTGOMEWQLBJ-UHFFFAOYSA-N,156695537.0
NVKNRXOMCYTFJF-MFGUGJPBSA-N,148037.0
UEHILKCNLIKLEV-LXABABOZSA-N,21630094.0
ZDEYKIPPTOEXDK-JJIHCYQHSA-N,155487364.0
VWXDQUOEPSECEB-IJKQOAKSSA-N,46844757.0
YILTUZQNYINQBJ-MURIQRJQSA-N,44233382.0
PUPKKEQDLNREIM-JMHGZOIISA-N,54209015.0
GWNJXOKSVWHGIL-JDVFRBCBSA-N,101675246.0
FUMGFDQTISKFTC-NTAMUIPMSA-N,162997147.0
FXAKJVINENBNAJ-XTKJVKBYSA-N,102286690.0
XTSFEXUEVQUSQE-FNORWQNLSA-N,9881169.0
WZJIWOREWCFPIJ-JHLZYJBHSA-N,101501874.0
ZUVAGNOBOHVXJJ-BZWVZTCCSA-N,6428437.0
OFFWLZVJUHOBDO-YGPPWILHSA-N,162852312.0
OWGCMMINSKNONQ-IWTSKDHTSA-N,101629131.0
IEWXWMUMAOWZMT-ALCUIIQASA-N,162934398.0
ADONXPDCJFWYAQ-XLTDOXTRSA-N,162959697.0
CZCPFHFUOUQBDL-BNJZOTFRSA-N,6442008.0
UHFDVJRNQGHKJH-MBIXAETLSA-N,
WZXLMGPZPXPPPZ-QLVYERCOSA-N,162816932.0
ZMFBGWWGXBNJAC-UHFFFAOYSA-N,5319744.0
XZYQCFABZDVOPN-ILXRZTDVSA-N,442347.0
TXULLYMENMRLHL-GXTWGEPZSA-N,11033582.0
LZMUHRZRHBVVTP-PTGSEZCUSA-N,54598236.0
WFSMZACCERKEEN-ZFWAAUCLSA-N,162963823.0
XNTVDVXTGHDVAF-HDAAZOAOSA-N,162817306.0
VNONINPVFQTJOC-ZGXDEBHDSA-N,119245.0
QGJZLNKBHJESQX-FZFNOLFKSA-N,64971.0
XBUJZRCBRIKDDK-UHFFFAOYSA-N,101245396.0
WCGAPGUTYIWMBN-UHFFFAOYSA-N,141607.0
QDVIEIMMEUCFMW-QXYPORFMSA-N,10082188.0
HZZBTVOUGFOQSZ-VQHVLOKHSA-N,5374717.0
VXYBODYXOZVCNH-ZCRMDGLISA-N,163191405.0
JYXSWDCPHRTYGU-WJJLTQTOSA-N,162913282.0
ULVBHEFDGPIWAT-LFXZADKFSA-N,14704550.0
ZPZXDIXYWKXDHN-AEVHBADWSA-N,101200911.0
ALHVSADYXQWYJH-UHFFFAOYSA-N,12582097.0
