original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Arnica louiseana,5405933,,Arnica louiseana Farr,Plantae,Arnica,louiseana,5405933
Arnica rydbergii,5405997,,Arnica rydbergii Greene,Plantae,Arnica,rydbergii,5405997
Arnica sororia,5405982,,Arnica sororia Greene,Plantae,Arnica,sororia,5405982
Astilbe biternata,8142314,,Astilbe biternata (Vent.) Britton,Plantae,Astilbe,biternata,8142314
Astragalus dipelta,5343390,,Astragalus dipelta Bunge,Plantae,Astragalus,dipelta,5343390
Astragalus sosnowskyi,5347158,,Astragalus sosnowskyi Grossh.,Plantae,Astragalus,sosnowskyi,5347158
Astragalus testiculatus,5343676,,Astragalus testiculatus Pall.,Plantae,Astragalus,testiculatus,5343676
Bauhinia Variegata,12377828,,Bauhinia,Plantae,Bauhinia,Variegata,12377828
Betula humilis,5331629,,Betula humilis Schrank,Plantae,Betula,humilis,5331629
Bocagea sp.nov.,3156837,,Bocagea A.St.-Hil.,Plantae,Bocagea,sp.nov.,3156837
Brachyglottis cassinioides,3138447,,Brachyglottis cassinioides (Hook.fil.) B.Nord.,Plantae,Brachyglottis,cassinioides,3138447
Calophyllum sclerophyllum,5556217,,Calophyllum sclerophyllum Vesque,Plantae,Calophyllum,sclerophyllum,5556217
Calycera herbacea,7274546,,Calycera herbacea Cav.,Plantae,Calycera,herbacea,7274546
Calycera leucanthema,3906718,11537509.0,Calycera leucanthema (Poepp. ex Less.) Kuntze,Plantae,Calycera,leucanthema,11537509
Carthamus gypsicola,3138228,,Carthamus gypsicola Iljin,Plantae,Carthamus,gypsicola,3138228
Centaurea bornmuelleri,7648409,,"Centaurea bornmuelleri Hausskn., 1905",Plantae,Centaurea,bornmuelleri,7648409
Chimarrhis turbinata,2918967,,Chimarrhis turbinata DC.,Plantae,Chimarrhis,turbinata,2918967
Chrysosplenium tetrandrum,5371612,,Chrysosplenium tetrandrum (N.Lund) Th.Fr.,Plantae,Chrysosplenium,tetrandrum,5371612
